dtype,nulos,pct_nulos,valores_únicos,moda,ejemplo
object,0,0.0,2,Interior,Interior
object,0,0.0,5,SUR,CENTRO
float64,612,6.42,20,1.0,6.0
object,0,0.0,3,Secundaria pública,Secundaria pública
object,0,0.0,4,Secundaria pública,Secundaria pública
object,93,0.97,3,M,M
float64,612,6.42,6,1.0,2.0
float64,612,6.42,10,1.0,1.0
float64,271,2.84,16,15.0,16.0
float64,633,6.64,80,39.0,35.0
float64,0,0.0,2088,-0.465260088,-0.500995014
float64,0,0.0,339,-0.572519159,-0.005299267
float64,0,0.0,611,0.291838951,0.043352166
float64,682,7.15,661,52.05866752,52.05866752
float64,652,6.84,1112,56.8411297,56.3386229
float64,660,6.92,1200,68.45730078,50.0314831
float64,660,6.92,1038,52.91900357,52.91900357
float64,719,7.54,1286,47.81205577,55.19977031
float64,642,6.73,1287,50.99248159,36.7048158
float64,642,6.73,1261,69.69321186,54.45036471
float64,566,5.93,871,51.62950532,45.77012892
float64,548,5.74,457,49.63416354,43.82327909
float64,546,5.72,578,66.93139878,46.98341803
float64,545,5.71,1834,69.63753503,47.37834443
float64,556,5.83,762,50.54636186,50.54636186
float64,566,5.93,2357,36.69760596,55.83463981
float64,556,5.83,8016,52.10699388,52.10699388
float64,565,5.92,8122,52.76236567,31.29967725
float64,557,5.84,1951,52.73257917,52.73257917
float64,566,5.93,5666,31.60307404,57.66434768
float64,545,5.71,8984,80.21637318,45.39949911
float64,553,5.8,606,45.09601091,49.06798488
float64,555,5.82,1459,50.31137625,48.67999901
float64,565,5.92,1941,54.56110568,30.81686107
float64,550,5.77,555,50.56158053,50.56158053
float64,549,5.76,591,47.91484453,40.48415512
int64,0,0.0,2,1.0,1
